,nombre,precio,vendido,enlace
78,T. Video Zotac Nvidia Rtx 2080 Blower 8gb Gddr6 Zt-t20800a-1,"20,946",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-657424345-t-video-pny-nvidia-rtx-2080-ti-11gb-gddr6-xlr8-vcg2080t11tf-_JM
79,Tarjeta De Video - Nvidia Geforce Rtx 2070 8gb Gddr6 Pci 3.,"25,000",Baja California,https://articulo.mercadolibre.com.mx/MLM-657424345-t-video-pny-nvidia-rtx-2080-ti-11gb-gddr6-xlr8-vcg2080t11tf-_JM
80,Tarjeta De Video - Nvidia Geforce Rtx 2080 8gb Gddr6,"30,000",Baja California,https://articulo.mercadolibre.com.mx/MLM-671153547-msi-t-video-asus-rog-strix-nvidia-geforce-rtx-2080ti-advanc-_JM
81,Tarjeta De Video Asus Rtx 2080ti 11gb Gddr6 352bits,"30,016",Michoacán,https://articulo.mercadolibre.com.mx/MLM-671153547-msi-t-video-asus-rog-strix-nvidia-geforce-rtx-2080ti-advanc-_JM
82,Tarjeta De Video Asus (turbo-rtx2080-8g) gddr6 256bits pci-e,"20,287",Michoacán,https://articulo.mercadolibre.com.mx/MLM-651242933-t-video-msi-nvidia-rtx-2080-sea-hawk-x-8gb-gddr6-enfriamien-_JM
83,Tarjeta De Video Asus Rog Strix Rtx 2080 8gb Gddr6 256bits,"20,727",Michoacán,https://articulo.mercadolibre.com.mx/MLM-651242933-t-video-msi-nvidia-rtx-2080-sea-hawk-x-8gb-gddr6-enfriamien-_JM
84,Tarjeta De Video Zotac (zt-t20810d-10p) Rtx 2080ti Amp! 11gb,"31,202",Michoacán,https://articulo.mercadolibre.com.mx/MLM-670751420-t-video-zotac-rtx-2080ti-amp-11gb-gddr6-zt-t20810d-10p-_JM?searchVariation=34245342693
85,Tarjeta De Video Pny Geforce Rtx 2080 Oc 8gb Gdrr6 256 Bits,"19,499",Puebla,https://articulo.mercadolibre.com.mx/MLM-670751420-t-video-zotac-rtx-2080ti-amp-11gb-gddr6-zt-t20810d-10p-_JM?searchVariation=34245342693
86,Tarjeta De Video Gigabyte Gv-n2080gaming Oc-8gc Rtx 2080 Gdd,"20,190",Michoacán,https://articulo.mercadolibre.com.mx/MLM-670751410-msi-t-video-zotac-rtx-2080ti-amp-11gb-gddr6-zt-t20810d-10p-_JM?searchVariation=34245301485
87,Tarjeta De Video Asus Rog Strix Rtx 2080ti 11gb Gddr6 352bit,"30,383",Michoacán,https://articulo.mercadolibre.com.mx/MLM-670751410-msi-t-video-zotac-rtx-2080ti-amp-11gb-gddr6-zt-t20810d-10p-_JM?searchVariation=34245301485
88,Tarjeta De Video Asus Rog Strix 2080ti 11gb Gddr6 352bits,"30,298",Michoacán,https://articulo.mercadolibre.com.mx/MLM-670510907-t-video-asus-rog-strix-nvidia-geforce-rtx-2080ti-oc-11gb-gd-_JM
89,Tarjeta De Video Zotac (zt-t20800j-10p) Rtx 2080 8gb Gddr6 2,"17,452",Michoacán,https://articulo.mercadolibre.com.mx/MLM-670510907-t-video-asus-rog-strix-nvidia-geforce-rtx-2080ti-oc-11gb-gd-_JM
90,Tarjeta De Video Evga 08g-p4-2182-kr Rtx 2080 Xc Gaming,"21,786",Michoacán,https://articulo.mercadolibre.com.mx/MLM-647222203-t-video-asus-dual-nvidia-rtx-2080ti-11gb-gddr6-dual-rtx2080-_JM
91,Nvidia Geforce Rtx 2080 Zotac Zt-t20800d-10p,"16,500",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-647222203-t-video-asus-dual-nvidia-rtx-2080ti-11gb-gddr6-dual-rtx2080-_JM
92,Tarjeta De Video Gigabyte Nvidia Rtx 2080 White 8gb Gddr6 /v,"19,754","</div>""",https://articulo.mercadolibre.com.mx/MLM-674623954-t-video-zotac-nvidia-geforce-rtx-2080-blower-8gb-gddr6-zt-t-_JM
93,Rtx 2080 Ti,"40,000",Sinaloa,https://articulo.mercadolibre.com.mx/MLM-674623954-t-video-zotac-nvidia-geforce-rtx-2080-blower-8gb-gddr6-zt-t-_JM
94,Zotac Rtx 2080 Amp Edition 8gb,"22,500",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-657424333-t-video-gigabyte-nvidia-rtx-2080-gaming-white-8gb-gddr6-gv--_JM
95,Tarjeta De Video Asus Turbo Rtx 2080 Ti 11gb Oc,"24,000",Puebla,https://articulo.mercadolibre.com.mx/MLM-657424333-t-video-gigabyte-nvidia-rtx-2080-gaming-white-8gb-gddr6-gv--_JM
96,Gygabyte Rtx 2080,"22,000",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-648351101-t-video-evga-nvidia-rtx-2080-8gb-gddr6-xc-gaming-08g-p4-218-_JM
97,Nvidia Geforce Rtx 2080 Con Memoria Samsung No Cambios,"16,000",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-648351101-t-video-evga-nvidia-rtx-2080-8gb-gddr6-xc-gaming-08g-p4-218-_JM
98,Tarjeta De Video Rtx 2080 Ti 11gb Asus Rog Strix Ddr6 /v,"30,519","</div>""",https://articulo.mercadolibre.com.mx/MLM-645241720-evga-rtx-2080-8gb-gddr6-xc-gaming-rgb-led-08g-p4-2182-kr-_JM
99,Gigabyte Geforce Rtx 2080 Empujes 8g Gráficos Tarjeta  Afic,19362,"</div>""",https://articulo.mercadolibre.com.mx/MLM-645241720-evga-rtx-2080-8gb-gddr6-xc-gaming-rgb-led-08g-p4-2182-kr-_JM
100,Nvidia Geforce Rtx 2080 8gb Gigabyte,"20,890",Morelos,https://articulo.mercadolibre.com.mx/MLM-645278082-t-video-asus-dual-nvidia-rtx-2080-8gb-gddr6-dual-rtx2080-o8-_JM
101,Nvidia - Geforce Rtx 2080 Founders Edition 8gb Gddr6 Pci,"20,999",Tamaulipas,https://articulo.mercadolibre.com.mx/MLM-645278082-t-video-asus-dual-nvidia-rtx-2080-8gb-gddr6-dual-rtx2080-o8-_JM
102,Tarjeta De Video Msi Geforce Rtx 2080 Sea Hawk X 8gb/ddr6/25,"25,514",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-670511003-msi-t-video-asus-rog-strix-nvidia-geforce-rtx-2080ti-oc-11g-_JM
